RefSeq	CTR_01	CTR_02	CTR_03	SCFA_01	SCFA_02	SCFA_03
NM_001282945	0	0	0	0	0	0
NM_001039510	0	0	0	0	0	0
NM_001291930	0	0	0	0	0	0
NM_001291928	0	0	0	0	0	0
NM_001008533	63	48	41	22	37	49
NM_027671	0	0	0	0	0	0
NM_001290393	0	0	0	0	0	0
NM_001290392	0	0	0	0	0	0
NM_001290390	0	0	0	0	0	0
NM_001293804	0	0	0	0	0	0
NM_008922	194	44	109	95	88	151
NM_009805	8	0	0	4	8	34
NM_001289704	0	0	0	0	0	0
NM_175642	3057	1662	1931	1857	3024	2763
NM_207653	0	0	0	0	0	0
NM_178884	16	0	22	31	71	23
NM_027677	0	0	0	0	0	0
NM_001310679	8	0	2	3	24	4
NM_033652	0	0	0	0	0	0
NM_176916	10	19	4	17	6	6
NM_001195816	0	0	0	0	2	0
NM_181546	0	0	0	0	0	0
NR_040472	0	0	0	0	0	0
NM_001301370	9	6	4	7	1	6
NM_001160371	0	0	0	0	0	0
NM_001289497	0	0	0	0	0	0
NM_145381	276	168	243	200	208	336
NM_177834	0	0	0	6	0	2
NM_001160369	0	0	0	0	0	0
NM_001160370	33	0	20	37	5	37
NM_177173	0	0	0	0	0	0
NM_001310451	0	0	0	0	0	0
NM_027974	26	12	11	20	9	8
NM_133235	165	106	170	269	193	188
NM_001029878	1493	813	1180	1285	2032	1560
NM_146107	1373	1131	1257	1201	2009	1704
NR_040465	0	0	0	0	0	0
NM_001160386	85	78	85	85	80	81
NM_053107	62	25	51	13	49	36
NM_001252070	58	55	28	22	41	41
NM_001163314	1003	404	650	718	876	868
NM_001114663	646	423	549	521	682	599
NM_001081050	119	38	98	112	146	170
NM_007561	4767	3550	3932	3391	4519	4557
NR_003202	0	0	0	0	0	0
NM_009533	350	349	170	266	345	388
NM_025728	0	0	0	0	0	0
NR_040605	0	0	0	0	0	0
NM_029160	0	0	0	0	0	0
NM_010154	1953	1177	1395	1199	1481	1654
NM_175210	5	1	13	10	9	3
NM_176972	19	0	3	2	1	1
NM_001310662	9	0	0	12	2	12
NM_175291	20	32	13	24	6	10
NM_001172157	3	4	2	2	10	1
NM_133816	81	31	54	74	205	110
NM_201644	0	0	0	0	0	0
NM_201641	0	0	0	0	0	0
NM_027921	57	10	61	53	22	33
NM_153530	0	0	0	0	0	0
NM_080850	55	43	16	59	71	39
NM_027971	0	0	0	0	0	0
NM_001199213	0	0	0	0	0	0
NM_011800	193	288	131	137	265	199
NM_001077425	507	318	410	336	670	583
NM_001316743	5	20	0	0	5	5
NM_001316744	83	48	43	50	51	47
NM_172853	0	0	0	0	0	0
NM_029709	0	0	0	0	0	0
NM_199021	3567	2471	2777	2551	3361	3440
NM_001293301	0	0	0	0	0	0
NM_001293300	43	18	38	45	70	42
NM_178690	1437	667	1034	1089	1544	1241
NM_008795	177	69	140	183	209	229
NM_008551	172	106	176	190	325	281
NM_172485	192	107	51	82	91	89
NM_001081027	3113	1761	2653	2540	1462	2934
NM_009791	25	0	0	34	16	10
NM_001159624	0	0	0	0	0	0
NM_001081360	3411	2482	2722	2754	4340	3241
NM_145417	22	0	15	18	20	25
NM_153539	57	0	14	14	15	52
NM_001145807	8	62	5	2	0	7
NM_008869	3	2	9	19	6	24
NM_145991	1257	877	1049	800	1171	1063
NM_177644	2881	2016	2272	1851	3238	3003
NM_197990	1838	1274	1754	1840	1916	2168
NM_021433	812	543	515	694	706	709
NM_175460	1776	1012	1348	1605	2563	1950
NM_207583	735	507	471	477	1122	747
NM_001038846	0	0	0	0	0	0
NM_013862	903	749	719	767	1184	1070
NM_178593	1	8	1	1	0	4
NM_145141	0	0	0	0	0	0
NM_001160215	0	0	0	0	0	0
NM_011880	0	0	0	0	0	0
NM_001199003	23	4	4	7	18	21
NR_027666	0	0	0	0	0	0
NM_001160212	0	0	0	0	0	0
NM_001160211	0	0	0	0	0	0
NM_001081175	198	172	148	205	367	374
NM_173378	340	167	296	256	563	472
NM_028408	0	0	0	0	3	0
NM_011785	12574	9004	11328	10099	7728	10453
NM_027188	165	212	238	123	239	326
NM_021408	4	2	3	16	9	18
NR_030555	0	0	0	0	0	0
NM_008976	156	63	170	189	196	193
NM_009367	51	66	63	87	142	85
NM_178775	1482	1238	1260	1107	1169	1258
NM_001243792	4	13	18	3	26	26
NR_015566	1014	705	572	634	864	845
NM_001011874	539	379	485	525	592	539
NM_001290372	9	0	3	4	0	2
NM_001195662	2	0	0	1	0	3
NM_021374	12	11	8	14	26	22
NM_001177795	0	0	0	3	8	0
NM_133826	26	24	5	15	25	7
NM_001310442	0	0	0	0	0	0
NM_001244693	0	0	0	0	0	0
